ID,Nombre de la serie,Género,Elenco,Año,Temporadas,Pais
92,Selena: La Serie,Biográfica,Chriatian Serratos,2020,2,México
93,Paw Patrol,Infantil,Christian Distefano,2013,8,Canadá
94,Total Drama,Comedia,Christian Potenza,2007,5,Canadá
95,Marianne,Terror,Délia Espinat Dief,2019,1,Francia
96,Nobel,Drama,Askel Hennie,2016,1,Noruego
97,Public Enemy,Policial,Angelo Bison,2016,2,Bélgica
98,Miraculous: Tales of Ladybug & Cat Noir,Infantil,Cristina Vee,2015,4,Francia
99,Trapped,Terror,Ólafur Darri Ólafsson,2015,2,Islandia
100,Drácula,Terror,Claes Bang,2020,1,Reino Unido
101,Romulus,Drama,Andrea Arcangeli,2020,1,Italia
102,Kalifat,Terror,Gizem Erdogan,2020,1,Suecia
103,Kenan and Kel,Comedia,Kenan Thompson,1996,4,Estados Unidos
104,All That,Comedia,Kel Mitchell,1994,10,Estados Unidos
105,Big Mouth,Comedia,Nick Kroll,2017,4,Estados Unidos
106,Paradise PD,Comedia,David Herman,2018,3,Estados Unidos
107,Gotham,Superhéroes,Benjamin McKenzie,2014,5,Estados Unidos
108,Ragnarok,Drama,Theresa Frostad,2020,1,Noruega
109,Big Time Rush,Infantil,Kendall Schmidt,2009,4,Estados Unidos
110,Young Justice,Infantil,Jesse McCartney,2010,3,Estados Unidos
111,Glee,Comedia,Matthew Morrison,2009,6,Estados Unidos
112,The 100,Magia,Bob Morley,2014,7,Estados Unidos
113,"Pablo Escobar, el Patrón del Mal",Biográfica,Andrés Parra,2012,1,Colombia
114,Teen Wolf,Terror,Tyler Posey,2011,6,Estados Unidos
115,Queen´s Gambit,Drama,Anna Taylor-Joy,2020,1,Estados Unidos
116,Rick and Morty,Comedia,Justin Roiland,2013,5,Estados Unidos
117,Cobra Kai,Drama,William Zabka,2018,3,Estados Unidos
118,Archer,Comedia,H. Jon Benjamin,2009,11,Estados Unidos
119,Hoops,Comedia,Jake Johnson,2020,1,Estados Unidos
120,Cloak and Dagger,Superhéroes,Olivia Holt,2018,2,Estados Unidos
121,Jessica Jones,Superhéroes,Krysten Ritter,2015,3,Estados Unidos
122,The Punisher,Superhéroes,Jon Bernthal,2017,2,Estados Unidos
123,Daredevil,Superhéroes,Charlie Cox,2015,3,Estados Unidos
124,"Yo Soy Betty, la Fea",Drama,Ana María Orozco,1999,1,Colombia
125,Freud,Biográfica,Robert Finster,2020,1,Alemania
126,Inside Bill's Brain: Decoding Bill Gates,Biográfica,Bill Gates,2019,1,Estados Unidos
127,The Last Dance,Biográfica,Michael Jordan,2020,1,Estados Unidos
128,Apache: La Vida de Carlos Tevez,Biográfica,Carlos Tevez,2019,1,Argentina
129,Mayday,Policial,,2003,20,Estados Unidos
130,Phineas and Ferb,Infantil,Vincent Martella,2007,4,Estados Unidos
131,Gravity Falls,Infantil,Jason Ritter,2012,2,Estados Unidos
132,F is for Family,Comedia,Bill Burr,2015,4,Estados Unidos
